	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
115583	LT0100_09	P24	50	384	positive control	COPB
115584	LT0100_12	A1	50	1	positive control	ENSG00000149503
115587	LT0100_12	A4	50	4	positive control	ENSG00000149503
115598	LT0100_12	A15	50	15	negative control	
115609	LT0100_12	B2	50	26	negative control	
115632	LT0100_12	C1	50	49	positive control	ENSG00000149503
115635	LT0100_12	C4	50	52	positive control	ENSG00000149503
115646	LT0100_12	C15	50	63	negative control	
115657	LT0100_12	D2	50	74	negative control	
115887	LT0100_12	M16	50	304	negative control	
115898	LT0100_12	N3	50	315	negative control	
115916	LT0100_12	N21	50	333	positive control	COPB
115919	LT0100_12	N24	50	336	positive control	COPB
115935	LT0100_12	O16	50	352	negative control	
115946	LT0100_12	P3	50	363	negative control	
115964	LT0100_12	P21	50	381	positive control	COPB
115967	LT0100_12	P24	50	384	positive control	COPB
115968	LT0101_01	A1	50	1	positive control	ENSG00000149503
115971	LT0101_01	A4	50	4	positive control	ENSG00000149503
115982	LT0101_01	A15	50	15	negative control	
115993	LT0101_01	B2	50	26	negative control	
116016	LT0101_01	C1	50	49	positive control	ENSG00000149503
116019	LT0101_01	C4	50	52	positive control	ENSG00000149503
116030	LT0101_01	C15	50	63	negative control	
116041	LT0101_01	D2	50	74	negative control	
116271	LT0101_01	M16	50	304	negative control	
116282	LT0101_01	N3	50	315	negative control	
116300	LT0101_01	N21	50	333	positive control	COPB
116303	LT0101_01	N24	50	336	positive control	COPB
116319	LT0101_01	O16	50	352	negative control	
116330	LT0101_01	P3	50	363	negative control	
116348	LT0101_01	P21	50	381	positive control	COPB
116351	LT0101_01	P24	50	384	positive control	COPB
116352	LT0101_14	A1	50	1	positive control	ENSG00000149503
116355	LT0101_14	A4	50	4	positive control	ENSG00000149503
116366	LT0101_14	A15	50	15	negative control	
116377	LT0101_14	B2	50	26	negative control	
116400	LT0101_14	C1	50	49	positive control	ENSG00000149503
116403	LT0101_14	C4	50	52	positive control	ENSG00000149503
116414	LT0101_14	C15	50	63	negative control	
116425	LT0101_14	D2	50	74	negative control	
116655	LT0101_14	M16	50	304	negative control	
116666	LT0101_14	N3	50	315	negative control	
116684	LT0101_14	N21	50	333	positive control	COPB
116687	LT0101_14	N24	50	336	positive control	COPB
116703	LT0101_14	O16	50	352	negative control	
116714	LT0101_14	P3	50	363	negative control	
116732	LT0101_14	P21	50	381	positive control	COPB
116735	LT0101_14	P24	50	384	positive control	COPB
116736	LT0101_15	A1	50	1	positive control	ENSG00000149503
116739	LT0101_15	A4	50	4	positive control	ENSG00000149503
116750	LT0101_15	A15	50	15	negative control	
116761	LT0101_15	B2	50	26	negative control	
116784	LT0101_15	C1	50	49	positive control	ENSG00000149503
116787	LT0101_15	C4	50	52	positive control	ENSG00000149503
116798	LT0101_15	C15	50	63	negative control	
116809	LT0101_15	D2	50	74	negative control	
117039	LT0101_15	M16	50	304	negative control	
117050	LT0101_15	N3	50	315	negative control	
117068	LT0101_15	N21	50	333	positive control	COPB
117071	LT0101_15	N24	50	336	positive control	COPB
117087	LT0101_15	O16	50	352	negative control	
117098	LT0101_15	P3	50	363	negative control	
117116	LT0101_15	P21	50	381	positive control	COPB
117119	LT0101_15	P24	50	384	positive control	COPB
117120	LT0102_01	A1	50	1	positive control	ENSG00000149503
117123	LT0102_01	A4	50	4	positive control	ENSG00000149503
117134	LT0102_01	A15	50	15	negative control	
117145	LT0102_01	B2	50	26	negative control	
117168	LT0102_01	C1	50	49	positive control	ENSG00000149503
117171	LT0102_01	C4	50	52	positive control	ENSG00000149503
117182	LT0102_01	C15	50	63	negative control	
117193	LT0102_01	D2	50	74	negative control	
117423	LT0102_01	M16	50	304	negative control	
117434	LT0102_01	N3	50	315	negative control	
117452	LT0102_01	N21	50	333	positive control	COPB
117455	LT0102_01	N24	50	336	positive control	COPB
117471	LT0102_01	O16	50	352	negative control	
117482	LT0102_01	P3	50	363	negative control	
117500	LT0102_01	P21	50	381	positive control	COPB
117503	LT0102_01	P24	50	384	positive control	COPB
117504	LT0102_06	A1	50	1	positive control	ENSG00000149503
117507	LT0102_06	A4	50	4	positive control	ENSG00000149503
117518	LT0102_06	A15	50	15	negative control	
117529	LT0102_06	B2	50	26	negative control	
117552	LT0102_06	C1	50	49	positive control	ENSG00000149503
117555	LT0102_06	C4	50	52	positive control	ENSG00000149503
117566	LT0102_06	C15	50	63	negative control	
117577	LT0102_06	D2	50	74	negative control	
117807	LT0102_06	M16	50	304	negative control	
117818	LT0102_06	N3	50	315	negative control	
117836	LT0102_06	N21	50	333	positive control	COPB
117839	LT0102_06	N24	50	336	positive control	COPB
117855	LT0102_06	O16	50	352	negative control	
117866	LT0102_06	P3	50	363	negative control	
117884	LT0102_06	P21	50	381	positive control	COPB
117887	LT0102_06	P24	50	384	positive control	COPB
117888	LT0102_09	A1	50	1	positive control	ENSG00000149503
117891	LT0102_09	A4	50	4	positive control	ENSG00000149503
117902	LT0102_09	A15	50	15	negative control	
117913	LT0102_09	B2	50	26	negative control	
117936	LT0102_09	C1	50	49	positive control	ENSG00000149503
117939	LT0102_09	C4	50	52	positive control	ENSG00000149503
117950	LT0102_09	C15	50	63	negative control	
117961	LT0102_09	D2	50	74	negative control	
118191	LT0102_09	M16	50	304	negative control	
118202	LT0102_09	N3	50	315	negative control	
118220	LT0102_09	N21	50	333	positive control	COPB
118223	LT0102_09	N24	50	336	positive control	COPB
118239	LT0102_09	O16	50	352	negative control	
118250	LT0102_09	P3	50	363	negative control	
118268	LT0102_09	P21	50	381	positive control	COPB
118271	LT0102_09	P24	50	384	positive control	COPB
118272	LT0103_08	A1	50	1	positive control	ENSG00000149503
118275	LT0103_08	A4	50	4	positive control	ENSG00000149503
118286	LT0103_08	A15	50	15	negative control	
118297	LT0103_08	B2	50	26	negative control	
118320	LT0103_08	C1	50	49	positive control	ENSG00000149503
118323	LT0103_08	C4	50	52	positive control	ENSG00000149503
118334	LT0103_08	C15	50	63	negative control	
118345	LT0103_08	D2	50	74	negative control	
118575	LT0103_08	M16	50	304	negative control	
118586	LT0103_08	N3	50	315	negative control	
118607	LT0103_08	N24	50	336	positive control	COPB
118623	LT0103_08	O16	50	352	negative control	
118634	LT0103_08	P3	50	363	negative control	
118652	LT0103_08	P21	50	381	positive control	COPB
118655	LT0103_08	P24	50	384	positive control	COPB
118656	LT0103_12	A1	50	1	positive control	ENSG00000149503
118659	LT0103_12	A4	50	4	positive control	ENSG00000149503
118670	LT0103_12	A15	50	15	negative control	
118681	LT0103_12	B2	50	26	negative control	
118704	LT0103_12	C1	50	49	positive control	ENSG00000149503
118707	LT0103_12	C4	50	52	positive control	ENSG00000149503
118718	LT0103_12	C15	50	63	negative control	
118729	LT0103_12	D2	50	74	negative control	
118959	LT0103_12	M16	50	304	negative control	
118970	LT0103_12	N3	50	315	negative control	
118988	LT0103_12	N21	50	333	positive control	COPB
118991	LT0103_12	N24	50	336	positive control	COPB
119007	LT0103_12	O16	50	352	negative control	
119018	LT0103_12	P3	50	363	negative control	
119036	LT0103_12	P21	50	381	positive control	COPB
119039	LT0103_12	P24	50	384	positive control	COPB
119040	LT0103_13	A1	50	1	positive control	ENSG00000149503
119043	LT0103_13	A4	50	4	positive control	ENSG00000149503
119054	LT0103_13	A15	50	15	negative control	
119065	LT0103_13	B2	50	26	negative control	
119088	LT0103_13	C1	50	49	positive control	ENSG00000149503
119091	LT0103_13	C4	50	52	positive control	ENSG00000149503
119102	LT0103_13	C15	50	63	negative control	
119113	LT0103_13	D2	50	74	negative control	
119343	LT0103_13	M16	50	304	negative control	
119354	LT0103_13	N3	50	315	negative control	
119372	LT0103_13	N21	50	333	positive control	COPB
119375	LT0103_13	N24	50	336	positive control	COPB
119391	LT0103_13	O16	50	352	negative control	
119402	LT0103_13	P3	50	363	negative control	
119420	LT0103_13	P21	50	381	positive control	COPB
119423	LT0103_13	P24	50	384	positive control	COPB
119424	LT0103_18	A1	50	1	positive control	ENSG00000149503
119427	LT0103_18	A4	50	4	positive control	ENSG00000149503
119438	LT0103_18	A15	50	15	negative control	
119449	LT0103_18	B2	50	26	negative control	
119472	LT0103_18	C1	50	49	positive control	ENSG00000149503
119475	LT0103_18	C4	50	52	positive control	ENSG00000149503
119486	LT0103_18	C15	50	63	negative control	
119497	LT0103_18	D2	50	74	negative control	
119727	LT0103_18	M16	50	304	negative control	
119738	LT0103_18	N3	50	315	negative control	
119756	LT0103_18	N21	50	333	positive control	COPB
119759	LT0103_18	N24	50	336	positive control	COPB
119775	LT0103_18	O16	50	352	negative control	
119786	LT0103_18	P3	50	363	negative control	
119804	LT0103_18	P21	50	381	positive control	COPB
119807	LT0103_18	P24	50	384	positive control	COPB
119808	LT0104_04	A1	50	1	positive control	ENSG00000149503
119811	LT0104_04	A4	50	4	positive control	ENSG00000149503
119822	LT0104_04	A15	50	15	negative control	
119833	LT0104_04	B2	50	26	negative control	
119856	LT0104_04	C1	50	49	positive control	ENSG00000149503
119859	LT0104_04	C4	50	52	positive control	ENSG00000149503
119870	LT0104_04	C15	50	63	negative control	
119881	LT0104_04	D2	50	74	negative control	
120111	LT0104_04	M16	50	304	negative control	
120122	LT0104_04	N3	50	315	negative control	
120140	LT0104_04	N21	50	333	positive control	COPB
120143	LT0104_04	N24	50	336	positive control	COPB
120159	LT0104_04	O16	50	352	negative control	
120170	LT0104_04	P3	50	363	negative control	
120188	LT0104_04	P21	50	381	positive control	COPB
120191	LT0104_04	P24	50	384	positive control	COPB
120192	LT0104_14	A1	50	1	positive control	ENSG00000149503
120195	LT0104_14	A4	50	4	positive control	ENSG00000149503
120206	LT0104_14	A15	50	15	negative control	
120217	LT0104_14	B2	50	26	negative control	
120240	LT0104_14	C1	50	49	positive control	ENSG00000149503
120243	LT0104_14	C4	50	52	positive control	ENSG00000149503
120254	LT0104_14	C15	50	63	negative control	
120265	LT0104_14	D2	50	74	negative control	
120495	LT0104_14	M16	50	304	negative control	
120506	LT0104_14	N3	50	315	negative control	
120524	LT0104_14	N21	50	333	positive control	COPB
120527	LT0104_14	N24	50	336	positive control	COPB
120543	LT0104_14	O16	50	352	negative control	
120554	LT0104_14	P3	50	363	negative control	
120572	LT0104_14	P21	50	381	positive control	COPB
120575	LT0104_14	P24	50	384	positive control	COPB
120579	LT0104_20	A4	50	4	positive control	ENSG00000149503
120590	LT0104_20	A15	50	15	negative control	
120624	LT0104_20	C1	50	49	positive control	ENSG00000149503
120627	LT0104_20	C4	50	52	positive control	ENSG00000149503
120638	LT0104_20	C15	50	63	negative control	
120649	LT0104_20	D2	50	74	negative control	
120879	LT0104_20	M16	50	304	negative control	
120890	LT0104_20	N3	50	315	negative control	
120908	LT0104_20	N21	50	333	positive control	COPB
120927	LT0104_20	O16	50	352	negative control	
120938	LT0104_20	P3	50	363	negative control	
120956	LT0104_20	P21	50	381	positive control	COPB
120959	LT0104_20	P24	50	384	positive control	COPB
120960	LT0104_31	A1	50	1	positive control	ENSG00000149503
120963	LT0104_31	A4	50	4	positive control	ENSG00000149503
120974	LT0104_31	A15	50	15	negative control	
120985	LT0104_31	B2	50	26	negative control	
121008	LT0104_31	C1	50	49	positive control	ENSG00000149503
121011	LT0104_31	C4	50	52	positive control	ENSG00000149503
121022	LT0104_31	C15	50	63	negative control	
121033	LT0104_31	D2	50	74	negative control	
121263	LT0104_31	M16	50	304	negative control	
121274	LT0104_31	N3	50	315	negative control	
121292	LT0104_31	N21	50	333	positive control	COPB
121295	LT0104_31	N24	50	336	positive control	COPB
121311	LT0104_31	O16	50	352	negative control	
121322	LT0104_31	P3	50	363	negative control	
121340	LT0104_31	P21	50	381	positive control	COPB
121343	LT0104_31	P24	50	384	positive control	COPB
121344	LT0105_04	A1	50	1	positive control	ENSG00000149503
121347	LT0105_04	A4	50	4	positive control	ENSG00000149503
121358	LT0105_04	A15	50	15	negative control	
121369	LT0105_04	B2	50	26	negative control	
121392	LT0105_04	C1	50	49	positive control	ENSG00000149503
121395	LT0105_04	C4	50	52	positive control	ENSG00000149503
121406	LT0105_04	C15	50	63	negative control	
121417	LT0105_04	D2	50	74	negative control	
121647	LT0105_04	M16	50	304	negative control	
121658	LT0105_04	N3	50	315	negative control	
121679	LT0105_04	N24	50	336	positive control	COPB
121695	LT0105_04	O16	50	352	negative control	
121706	LT0105_04	P3	50	363	negative control	
121724	LT0105_04	P21	50	381	positive control	COPB
121727	LT0105_04	P24	50	384	positive control	COPB
121728	LT0105_07	A1	50	1	positive control	ENSG00000149503
121731	LT0105_07	A4	50	4	positive control	ENSG00000149503
121742	LT0105_07	A15	50	15	negative control	
121753	LT0105_07	B2	50	26	negative control	
121776	LT0105_07	C1	50	49	positive control	ENSG00000149503
121779	LT0105_07	C4	50	52	positive control	ENSG00000149503
121790	LT0105_07	C15	50	63	negative control	
121801	LT0105_07	D2	50	74	negative control	
122031	LT0105_07	M16	50	304	negative control	
122042	LT0105_07	N3	50	315	negative control	
122060	LT0105_07	N21	50	333	positive control	COPB
122063	LT0105_07	N24	50	336	positive control	COPB
122079	LT0105_07	O16	50	352	negative control	
122090	LT0105_07	P3	50	363	negative control	
122108	LT0105_07	P21	50	381	positive control	COPB
122111	LT0105_07	P24	50	384	positive control	COPB
122112	LT0105_20	A1	50	1	positive control	ENSG00000149503
122115	LT0105_20	A4	50	4	positive control	ENSG00000149503
122126	LT0105_20	A15	50	15	negative control	
122137	LT0105_20	B2	50	26	negative control	
122160	LT0105_20	C1	50	49	positive control	ENSG00000149503
122163	LT0105_20	C4	50	52	positive control	ENSG00000149503
122174	LT0105_20	C15	50	63	negative control	
122185	LT0105_20	D2	50	74	negative control	
122415	LT0105_20	M16	50	304	negative control	
122426	LT0105_20	N3	50	315	negative control	
122444	LT0105_20	N21	50	333	positive control	COPB
122463	LT0105_20	O16	50	352	negative control	
122474	LT0105_20	P3	50	363	negative control	
122492	LT0105_20	P21	50	381	positive control	COPB
122495	LT0105_20	P24	50	384	positive control	COPB
122496	LT0105_27	A1	50	1	positive control	ENSG00000149503
122499	LT0105_27	A4	50	4	positive control	ENSG00000149503
122510	LT0105_27	A15	50	15	negative control	
122521	LT0105_27	B2	50	26	negative control	
122544	LT0105_27	C1	50	49	positive control	ENSG00000149503
122547	LT0105_27	C4	50	52	positive control	ENSG00000149503
122558	LT0105_27	C15	50	63	negative control	
122569	LT0105_27	D2	50	74	negative control	
122799	LT0105_27	M16	50	304	negative control	
122810	LT0105_27	N3	50	315	negative control	
122828	LT0105_27	N21	50	333	positive control	COPB
122831	LT0105_27	N24	50	336	positive control	COPB
122847	LT0105_27	O16	50	352	negative control	
122858	LT0105_27	P3	50	363	negative control	
122876	LT0105_27	P21	50	381	positive control	COPB
122879	LT0105_27	P24	50	384	positive control	COPB
122880	LT0106_02	A1	50	1	positive control	ENSG00000149503
122883	LT0106_02	A4	50	4	positive control	ENSG00000149503
122894	LT0106_02	A15	50	15	negative control	
122905	LT0106_02	B2	50	26	negative control	
122928	LT0106_02	C1	50	49	positive control	ENSG00000149503
122931	LT0106_02	C4	50	52	positive control	ENSG00000149503
122942	LT0106_02	C15	50	63	negative control	
122953	LT0106_02	D2	50	74	negative control	
123183	LT0106_02	M16	50	304	negative control	
123194	LT0106_02	N3	50	315	negative control	
123212	LT0106_02	N21	50	333	positive control	COPB
123215	LT0106_02	N24	50	336	positive control	COPB
123231	LT0106_02	O16	50	352	negative control	
123242	LT0106_02	P3	50	363	negative control	
123260	LT0106_02	P21	50	381	positive control	COPB
123263	LT0106_02	P24	50	384	positive control	COPB
123264	LT0106_06	A1	50	1	positive control	ENSG00000149503
123267	LT0106_06	A4	50	4	positive control	ENSG00000149503
123278	LT0106_06	A15	50	15	negative control	
123289	LT0106_06	B2	50	26	negative control	
123312	LT0106_06	C1	50	49	positive control	ENSG00000149503
123315	LT0106_06	C4	50	52	positive control	ENSG00000149503
123326	LT0106_06	C15	50	63	negative control	
123337	LT0106_06	D2	50	74	negative control	
123567	LT0106_06	M16	50	304	negative control	
123578	LT0106_06	N3	50	315	negative control	
123596	LT0106_06	N21	50	333	positive control	COPB
123599	LT0106_06	N24	50	336	positive control	COPB
123615	LT0106_06	O16	50	352	negative control	
123626	LT0106_06	P3	50	363	negative control	
123644	LT0106_06	P21	50	381	positive control	COPB
123647	LT0106_06	P24	50	384	positive control	COPB
123648	LT0106_10	A1	50	1	positive control	ENSG00000149503
123651	LT0106_10	A4	50	4	positive control	ENSG00000149503
123662	LT0106_10	A15	50	15	negative control	
123673	LT0106_10	B2	50	26	negative control	
123696	LT0106_10	C1	50	49	positive control	ENSG00000149503
123699	LT0106_10	C4	50	52	positive control	ENSG00000149503
123710	LT0106_10	C15	50	63	negative control	
123721	LT0106_10	D2	50	74	negative control	
123951	LT0106_10	M16	50	304	negative control	
123962	LT0106_10	N3	50	315	negative control	
123980	LT0106_10	N21	50	333	positive control	COPB
123983	LT0106_10	N24	50	336	positive control	COPB
